2022-05-31 13:58:20.848792	folder path: ./save/sde-flow/default/mnist-True-False-64-0.0001-100000
2022-05-31 13:58:20.848915	Namespace(T0=1.0, batch_size=64, checkpoint_every=1000, dataroot='~/bayesian_project/data/', dataset='mnist', debias=False, expname='default', lr=0.0001, num_iterations=100000, num_steps=1000, print_every=500, real=True, sample_every=500, saveroot='./save', test_batch_size=256, vtype='rademacher')
2022-05-31 13:58:38.836118	Iteration 1 	BPD 13.34072208404541
2022-05-31 13:59:17.016375	Iteration 500 	BPD 4.105500221252441
2022-05-31 14:00:02.972957	Iteration 1000 	BPD 2.7343106269836426
2022-05-31 14:00:49.181048	Iteration 1500 	BPD 2.4164257049560547
2022-05-31 14:01:35.747408	Iteration 2000 	BPD 2.2274985313415527
2022-05-31 14:02:22.139195	Iteration 2500 	BPD 2.126971483230591
2022-05-31 14:03:08.284687	Iteration 3000 	BPD 1.9086228609085083
2022-05-31 14:03:54.480062	Iteration 3500 	BPD 1.9823367595672607
2022-05-31 14:04:40.786428	Iteration 4000 	BPD 1.9128237962722778
2022-05-31 14:05:26.959978	Iteration 4500 	BPD 1.8834121227264404
2022-05-31 14:06:13.380740	Iteration 5000 	BPD 1.7744204998016357
2022-05-31 14:06:59.804988	Iteration 5500 	BPD 1.8387216329574585
2022-05-31 14:07:46.366304	Iteration 6000 	BPD 1.488268256187439
2022-05-31 14:08:32.888218	Iteration 6500 	BPD 1.7162433862686157
2022-05-31 14:09:19.407844	Iteration 7000 	BPD 1.6869230270385742
2022-05-31 14:10:05.828711	Iteration 7500 	BPD 1.3443583250045776
2022-05-31 14:10:52.473545	Iteration 8000 	BPD 1.583316445350647
2022-05-31 14:11:39.131942	Iteration 8500 	BPD 1.61644446849823
2022-05-31 14:12:25.349360	Iteration 9000 	BPD 1.3679282665252686
2022-05-31 14:13:11.665919	Iteration 9500 	BPD 1.3747082948684692
2022-05-31 14:13:57.955299	Iteration 10000 	BPD 1.5473359823226929
2022-05-31 14:14:44.790797	Iteration 10500 	BPD 1.4041016101837158
2022-05-31 14:15:31.416124	Iteration 11000 	BPD 1.5381569862365723
2022-05-31 14:16:18.166860	Iteration 11500 	BPD 1.4060297012329102
2022-05-31 14:17:04.564730	Iteration 12000 	BPD 1.5101299285888672
2022-05-31 14:17:51.122460	Iteration 12500 	BPD 1.6417827606201172
2022-05-31 14:18:37.740988	Iteration 13000 	BPD 1.431528091430664
2022-05-31 14:19:24.562538	Iteration 13500 	BPD 1.598738670349121
2022-05-31 14:20:11.034387	Iteration 14000 	BPD 1.4329007863998413
2022-05-31 14:20:57.308031	Iteration 14500 	BPD 1.3851169347763062
2022-05-31 14:21:43.565045	Iteration 15000 	BPD 1.4099280834197998
2022-05-31 14:22:29.885229	Iteration 15500 	BPD 1.2428630590438843
2022-05-31 14:23:16.367331	Iteration 16000 	BPD 1.5176044702529907
2022-05-31 14:24:02.781919	Iteration 16500 	BPD 1.4320064783096313
2022-05-31 14:24:49.031507	Iteration 17000 	BPD 1.340117335319519
2022-05-31 14:25:35.796403	Iteration 17500 	BPD 1.5636831521987915
2022-05-31 14:26:21.979401	Iteration 18000 	BPD 1.4369590282440186
2022-05-31 14:27:08.301983	Iteration 18500 	BPD 1.207991600036621
2022-05-31 14:27:54.775341	Iteration 19000 	BPD 1.3959059715270996
2022-05-31 14:28:41.242154	Iteration 19500 	BPD 1.1401138305664062
2022-05-31 14:29:27.487980	Iteration 20000 	BPD 1.4886846542358398
2022-05-31 14:30:14.198897	Iteration 20500 	BPD 1.3412657976150513
2022-05-31 14:31:00.899699	Iteration 21000 	BPD 1.4130213260650635
2022-05-31 14:31:47.479905	Iteration 21500 	BPD 1.391098976135254
2022-05-31 14:32:33.781118	Iteration 22000 	BPD 1.3814988136291504
2022-05-31 14:33:20.545572	Iteration 22500 	BPD 1.4679512977600098
2022-05-31 14:34:06.797056	Iteration 23000 	BPD 1.5135153532028198
2022-05-31 14:34:53.142460	Iteration 23500 	BPD 1.4316859245300293
