2022-05-31 15:35:53.485792	folder path: ./save/sde-flow/default/mnist-True-True-64-0.0001-100000
2022-05-31 15:35:53.485910	Namespace(T0=1.0, batch_size=64, checkpoint_every=1000, dataroot='~/bayesian_project/data/', dataset='mnist', debias=True, expname='default', lr=0.0001, num_iterations=100000, num_steps=1000, print_every=500, real=True, sample_every=500, saveroot='./save', test_batch_size=256, vtype='rademacher')
2022-05-31 15:36:23.507782	Iteration 1 	BPD 13.33561897277832
2022-05-31 15:37:39.644791	Iteration 500 	BPD 3.8499863147735596
2022-05-31 15:39:05.402457	Iteration 1000 	BPD 2.525428056716919
2022-05-31 15:40:31.262351	Iteration 1500 	BPD 2.2015345096588135
2022-05-31 15:41:57.103411	Iteration 2000 	BPD 1.842533826828003
2022-05-31 15:43:22.982173	Iteration 2500 	BPD 1.8947420120239258
2022-05-31 15:44:48.784333	Iteration 3000 	BPD 1.750290870666504
2022-05-31 15:46:14.664679	Iteration 3500 	BPD 1.5556799173355103
2022-05-31 15:47:40.432058	Iteration 4000 	BPD 1.4806084632873535
2022-05-31 15:49:06.238805	Iteration 4500 	BPD 1.2630889415740967
2022-05-31 15:50:32.044633	Iteration 5000 	BPD 1.7030696868896484
2022-05-31 15:51:57.727627	Iteration 5500 	BPD 1.251842975616455
2022-05-31 15:53:23.612262	Iteration 6000 	BPD 1.3589868545532227
2022-05-31 15:54:49.351257	Iteration 6500 	BPD 1.2148364782333374
2022-05-31 15:56:15.286591	Iteration 7000 	BPD 1.3073198795318604
2022-05-31 15:57:41.018453	Iteration 7500 	BPD 1.3705098628997803
2022-05-31 15:59:06.872294	Iteration 8000 	BPD 1.4218556880950928
2022-05-31 16:00:32.684807	Iteration 8500 	BPD 1.2010384798049927
2022-05-31 16:01:58.483889	Iteration 9000 	BPD 1.0624284744262695
2022-05-31 16:03:24.313016	Iteration 9500 	BPD 1.3785829544067383
2022-05-31 16:04:50.123354	Iteration 10000 	BPD 1.3987572193145752
2022-05-31 16:06:15.939874	Iteration 10500 	BPD 1.2293431758880615
2022-05-31 16:07:41.886530	Iteration 11000 	BPD 1.2996609210968018
2022-05-31 16:09:07.750765	Iteration 11500 	BPD 1.2066859006881714
2022-05-31 16:10:33.533992	Iteration 12000 	BPD 1.365962028503418
2022-05-31 16:11:59.405660	Iteration 12500 	BPD 1.2239066362380981
2022-05-31 16:13:25.140473	Iteration 13000 	BPD 1.1887286901474
2022-05-31 16:14:51.050686	Iteration 13500 	BPD 1.2590217590332031
2022-05-31 16:16:16.755261	Iteration 14000 	BPD 1.3218626976013184
2022-05-31 16:17:42.696159	Iteration 14500 	BPD 1.1671322584152222
2022-05-31 16:19:08.442182	Iteration 15000 	BPD 1.1214699745178223
2022-05-31 16:20:34.403690	Iteration 15500 	BPD 1.3829230070114136
