2022-06-14 23:44:24.333185	folder path: ./save/sde-flow/default/mnist-True-True-64-0.0001-500000
2022-06-14 23:44:24.333292	Namespace(dataset='mnist', dataroot='./data', saveroot='./save', expname='default', print_every=500, sample_every=500, checkpoint_every=1000, num_steps=1000, T0=1.0, vtype='rademacher', batch_size=64, test_batch_size=256, lr=0.0001, num_iterations=500000, real=True, debias=True)
2022-06-14 23:44:44.224887	Iteration 1 	BPD 13.293088912963867
2022-06-14 23:45:21.598235	Iteration 500 	BPD 3.90769100189209
2022-06-14 23:46:09.414243	Iteration 1000 	BPD 2.4662582874298096
2022-06-14 23:46:56.845135	Iteration 1500 	BPD 2.0623233318328857
2022-06-14 23:47:44.681353	Iteration 2000 	BPD 1.9675289392471313
2022-06-14 23:48:32.142170	Iteration 2500 	BPD 1.9166886806488037
2022-06-14 23:49:19.934724	Iteration 3000 	BPD 1.6655185222625732
2022-06-14 23:50:07.374902	Iteration 3500 	BPD 1.59861159324646
2022-06-14 23:50:54.600332	Iteration 4000 	BPD 1.4546419382095337
2022-06-14 23:51:42.210489	Iteration 4500 	BPD 1.4036837816238403
2022-06-14 23:52:29.879900	Iteration 5000 	BPD 1.563109040260315
2022-06-14 23:53:17.575520	Iteration 5500 	BPD 1.640645146369934
2022-06-14 23:54:05.360523	Iteration 6000 	BPD 1.4062713384628296
2022-06-14 23:54:52.790565	Iteration 6500 	BPD 1.0729128122329712
2022-06-14 23:55:40.667018	Iteration 7000 	BPD 1.2563903331756592
2022-06-14 23:56:27.951525	Iteration 7500 	BPD 1.3400462865829468
2022-06-14 23:57:15.875198	Iteration 8000 	BPD 1.2486693859100342
2022-06-14 23:58:03.253278	Iteration 8500 	BPD 1.4798160791397095
2022-06-14 23:58:50.466770	Iteration 9000 	BPD 1.3824728727340698
2022-06-14 23:59:37.841326	Iteration 9500 	BPD 1.4275175333023071
2022-06-15 00:00:25.199029	Iteration 10000 	BPD 1.2847353219985962
2022-06-15 00:01:12.564345	Iteration 10500 	BPD 1.478811502456665
2022-06-15 00:01:59.802514	Iteration 11000 	BPD 1.5594571828842163
2022-06-15 00:02:47.623217	Iteration 11500 	BPD 1.2738484144210815
2022-06-15 00:03:35.350556	Iteration 12000 	BPD 0.9541107416152954
2022-06-15 00:04:23.019645	Iteration 12500 	BPD 1.256515383720398
2022-06-15 00:05:10.245817	Iteration 13000 	BPD 1.432939887046814
2022-06-15 00:05:57.538968	Iteration 13500 	BPD 1.3644130229949951
2022-06-15 00:06:44.855918	Iteration 14000 	BPD 0.9565656185150146
2022-06-15 00:07:32.470879	Iteration 14500 	BPD 1.4304804801940918
2022-06-15 00:08:20.197387	Iteration 15000 	BPD 1.361825942993164
2022-06-15 00:09:07.525274	Iteration 15500 	BPD 1.4245052337646484
2022-06-15 00:09:55.341531	Iteration 16000 	BPD 1.0615229606628418
2022-06-15 00:10:42.908600	Iteration 16500 	BPD 1.2528836727142334
2022-06-15 00:11:30.217191	Iteration 17000 	BPD 1.2262427806854248
2022-06-15 00:12:17.536200	Iteration 17500 	BPD 1.1682428121566772
2022-06-15 00:13:05.382286	Iteration 18000 	BPD 1.2391308546066284
2022-06-15 00:13:52.742069	Iteration 18500 	BPD 1.145546317100525
2022-06-15 00:14:39.970306	Iteration 19000 	BPD 1.1830921173095703
2022-06-15 00:15:27.894974	Iteration 19500 	BPD 1.4360742568969727
2022-06-15 00:16:15.290304	Iteration 20000 	BPD 1.1237411499023438
2022-06-15 00:17:02.608575	Iteration 20500 	BPD 1.0011636018753052
2022-06-15 00:17:50.486142	Iteration 21000 	BPD 0.9736362099647522
2022-06-15 00:18:37.749596	Iteration 21500 	BPD 1.1384345293045044
2022-06-15 00:19:25.080717	Iteration 22000 	BPD 1.3418296575546265
2022-06-15 00:20:12.492026	Iteration 22500 	BPD 0.9148048758506775
2022-06-15 00:20:59.850461	Iteration 23000 	BPD 1.3849258422851562
2022-06-15 00:21:47.803556	Iteration 23500 	BPD 1.2430055141448975
2022-06-15 00:22:35.194953	Iteration 24000 	BPD 1.2664806842803955
2022-06-15 00:23:23.217046	Iteration 24500 	BPD 1.2288124561309814
2022-06-15 00:24:10.413238	Iteration 25000 	BPD 1.2996242046356201
2022-06-15 00:24:58.411198	Iteration 25500 	BPD 0.9930391311645508
2022-06-15 00:25:45.927769	Iteration 26000 	BPD 1.2325215339660645
2022-06-15 00:26:33.848388	Iteration 26500 	BPD 1.021970272064209
2022-06-15 00:27:21.744854	Iteration 27000 	BPD 1.17470121383667
2022-06-15 00:28:09.214183	Iteration 27500 	BPD 1.1573138236999512
2022-06-15 00:28:56.355074	Iteration 28000 	BPD 0.9761680960655212
2022-06-15 00:29:43.700746	Iteration 28500 	BPD 1.2304073572158813
2022-06-15 00:30:30.881904	Iteration 29000 	BPD 1.1409419775009155
2022-06-15 00:31:18.244606	Iteration 29500 	BPD 1.2133554220199585
2022-06-15 00:32:05.913581	Iteration 30000 	BPD 1.2071560621261597
2022-06-15 00:32:53.434807	Iteration 30500 	BPD 1.3183232545852661
2022-06-15 00:33:40.779002	Iteration 31000 	BPD 1.1616910696029663
2022-06-15 00:34:28.323394	Iteration 31500 	BPD 1.3711708784103394
2022-06-15 00:35:15.954774	Iteration 32000 	BPD 1.2332704067230225
2022-06-15 00:36:03.666536	Iteration 32500 	BPD 1.1143319606781006
2022-06-15 00:36:51.487358	Iteration 33000 	BPD 1.0541497468948364
2022-06-15 00:37:39.191846	Iteration 33500 	BPD 1.1273984909057617
2022-06-15 00:38:26.547061	Iteration 34000 	BPD 1.4189906120300293
2022-06-15 00:39:14.376356	Iteration 34500 	BPD 1.1051793098449707
2022-06-15 00:40:01.678141	Iteration 35000 	BPD 1.242595911026001
2022-06-15 00:40:49.466463	Iteration 35500 	BPD 1.07108473777771
2022-06-15 00:41:37.029790	Iteration 36000 	BPD 1.480007290840149
2022-06-15 00:42:24.667721	Iteration 36500 	BPD 1.3077579736709595
2022-06-15 00:43:12.028443	Iteration 37000 	BPD 1.1689509153366089
2022-06-15 00:43:59.860903	Iteration 37500 	BPD 1.0008926391601562
2022-06-15 00:44:47.191234	Iteration 38000 	BPD 0.9668545722961426
2022-06-15 00:45:34.691630	Iteration 38500 	BPD 1.1554296016693115
2022-06-15 00:46:21.896291	Iteration 39000 	BPD 1.495969295501709
2022-06-15 00:47:09.739731	Iteration 39500 	BPD 1.090372085571289
2022-06-15 00:47:57.040687	Iteration 40000 	BPD 1.1975953578948975
2022-06-15 00:48:44.511093	Iteration 40500 	BPD 1.1865029335021973
2022-06-15 00:49:31.780345	Iteration 41000 	BPD 1.1515791416168213
2022-06-15 00:50:19.679869	Iteration 41500 	BPD 1.1525663137435913
2022-06-15 00:51:06.981976	Iteration 42000 	BPD 1.1582001447677612
2022-06-15 00:51:54.402918	Iteration 42500 	BPD 1.1230530738830566
2022-06-15 00:52:41.722402	Iteration 43000 	BPD 1.1952978372573853
2022-06-15 00:53:29.122250	Iteration 43500 	BPD 1.0207910537719727
2022-06-15 00:54:16.944305	Iteration 44000 	BPD 1.0831431150436401
2022-06-15 00:55:04.420655	Iteration 44500 	BPD 1.2501704692840576
2022-06-15 00:55:52.212032	Iteration 45000 	BPD 1.026219129562378
2022-06-15 00:56:39.529825	Iteration 45500 	BPD 1.1454087495803833
2022-06-15 00:57:26.757312	Iteration 46000 	BPD 1.2907825708389282
2022-06-15 00:58:14.056200	Iteration 46500 	BPD 0.9927660226821899
2022-06-15 00:59:01.380970	Iteration 47000 	BPD 1.2163602113723755
2022-06-15 00:59:49.354577	Iteration 47500 	BPD 1.5142945051193237
2022-06-15 01:00:36.743120	Iteration 48000 	BPD 1.3780838251113892
2022-06-15 01:01:24.072112	Iteration 48500 	BPD 1.4037253856658936
2022-06-15 01:02:11.928676	Iteration 49000 	BPD 1.1260743141174316
2022-06-15 01:02:59.823499	Iteration 49500 	BPD 1.2437820434570312
2022-06-15 01:03:47.765063	Iteration 50000 	BPD 1.4326961040496826
2022-06-15 01:04:35.126113	Iteration 50500 	BPD 1.1030346155166626
2022-06-15 01:05:22.700930	Iteration 51000 	BPD 1.0301481485366821
2022-06-15 01:06:10.470840	Iteration 51500 	BPD 1.150164246559143
2022-06-15 01:06:57.873773	Iteration 52000 	BPD 1.134057641029358
2022-06-15 01:07:45.772479	Iteration 52500 	BPD 0.8482558727264404
2022-06-15 01:08:33.246794	Iteration 53000 	BPD 1.1484949588775635
2022-06-15 01:09:20.586052	Iteration 53500 	BPD 1.0088605880737305
2022-06-15 01:10:08.294272	Iteration 54000 	BPD 1.1845154762268066
2022-06-15 01:10:56.259785	Iteration 54500 	BPD 1.3101736307144165
2022-06-15 01:11:44.071902	Iteration 55000 	BPD 1.021388292312622
2022-06-15 01:12:31.458416	Iteration 55500 	BPD 0.9653871059417725
2022-06-15 01:13:18.720679	Iteration 56000 	BPD 1.0837647914886475
2022-06-15 01:14:06.119056	Iteration 56500 	BPD 1.3321144580841064
2022-06-15 01:14:53.849185	Iteration 57000 	BPD 1.309079647064209
2022-06-15 01:15:41.292514	Iteration 57500 	BPD 1.211653470993042
2022-06-15 01:16:28.785475	Iteration 58000 	BPD 1.1409260034561157
2022-06-15 01:17:16.280602	Iteration 58500 	BPD 1.033339023590088
2022-06-15 01:18:03.843252	Iteration 59000 	BPD 1.2188588380813599
2022-06-15 01:18:51.820195	Iteration 59500 	BPD 1.1828737258911133
2022-06-15 01:19:39.204298	Iteration 60000 	BPD 1.1573338508605957
2022-06-15 01:20:26.587774	Iteration 60500 	BPD 1.3408101797103882
2022-06-15 01:21:14.088667	Iteration 61000 	BPD 0.9891482591629028
2022-06-15 01:22:01.995345	Iteration 61500 	BPD 0.9637858271598816
2022-06-15 01:22:49.372640	Iteration 62000 	BPD 0.9301276206970215
2022-06-15 01:23:36.826611	Iteration 62500 	BPD 1.238847255706787
2022-06-15 01:24:24.179016	Iteration 63000 	BPD 1.1870172023773193
2022-06-15 01:25:11.627009	Iteration 63500 	BPD 1.0365257263183594
2022-06-15 01:25:58.888753	Iteration 64000 	BPD 1.042574167251587
2022-06-15 01:26:46.250856	Iteration 64500 	BPD 0.8945184350013733
2022-06-15 01:27:33.604791	Iteration 65000 	BPD 1.2801424264907837
2022-06-15 01:28:21.529286	Iteration 65500 	BPD 1.2039130926132202
2022-06-15 01:29:09.502686	Iteration 66000 	BPD 0.9319607615470886
2022-06-15 01:29:56.831288	Iteration 66500 	BPD 1.0729901790618896
2022-06-15 01:30:44.442862	Iteration 67000 	BPD 1.5670459270477295
2022-06-15 01:31:31.655132	Iteration 67500 	BPD 1.225317120552063
2022-06-15 01:32:19.679250	Iteration 68000 	BPD 1.1879394054412842
2022-06-15 01:33:07.075751	Iteration 68500 	BPD 1.2639983892440796
2022-06-15 01:33:54.811756	Iteration 69000 	BPD 1.4158458709716797
2022-06-15 01:34:42.188186	Iteration 69500 	BPD 0.9863712191581726
2022-06-15 01:35:29.440369	Iteration 70000 	BPD 1.566833734512329
2022-06-15 01:36:16.948568	Iteration 70500 	BPD 1.2137264013290405
2022-06-15 01:37:04.696533	Iteration 71000 	BPD 1.3808233737945557
2022-06-15 01:37:52.550811	Iteration 71500 	BPD 1.1811832189559937
2022-06-15 01:38:40.028440	Iteration 72000 	BPD 1.1035188436508179
2022-06-15 01:39:27.547141	Iteration 72500 	BPD 1.1648364067077637
2022-06-15 01:40:14.769109	Iteration 73000 	BPD 0.8985599875450134
2022-06-15 01:41:02.718641	Iteration 73500 	BPD 1.1816132068634033
2022-06-15 01:41:49.877222	Iteration 74000 	BPD 1.2404649257659912
2022-06-15 01:42:37.425569	Iteration 74500 	BPD 1.2732770442962646
2022-06-15 01:43:25.114100	Iteration 75000 	BPD 1.1315507888793945
2022-06-15 01:44:12.646855	Iteration 75500 	BPD 1.0146582126617432
2022-06-15 01:45:00.021692	Iteration 76000 	BPD 1.0887830257415771
2022-06-15 01:45:47.795285	Iteration 76500 	BPD 1.08664071559906
2022-06-15 01:46:35.718755	Iteration 77000 	BPD 0.9950287938117981
2022-06-15 01:47:23.724191	Iteration 77500 	BPD 1.1237250566482544
2022-06-15 01:48:11.421071	Iteration 78000 	BPD 1.1116573810577393
2022-06-15 01:48:59.088797	Iteration 78500 	BPD 1.1265894174575806
2022-06-15 01:49:46.484032	Iteration 79000 	BPD 0.9225477576255798
2022-06-15 01:50:33.853792	Iteration 79500 	BPD 1.2071876525878906
